GEOID10,rpp_spots
110010001001000,270
110010001001001,57
110010001001002,75
110010001001003,52
110010001001004,114
110010001001005,52
110010001001006,75
110010001001007,20
110010001001008,79
110010001001009,70
110010001001010,43
110010001001011,86
110010001002000,78
110010001002001,64
110010001002002,65
110010001002003,24
110010001002004,85
110010001002005,1
110010001002006,34
110010001002007,44
110010001002008,44
110010001002009,15
110010001003000,52
110010001003001,52
110010001003002,127
110010001003003,75
110010001003004,36
110010001003005,66
110010001003006,60
110010001003007,37
110010001003008,38
110010001003009,40
110010001003010,40
110010001003011,63
110010001003012,51
110010001004000,39
110010001004001,39
110010001004002,65
110010001004003,45
110010001004004,26
110010001004005,46
110010001004006,37
110010001004007,34
110010001004008,26
110010001004009,30
110010001004010,9
110010001004011,9
110010001004012,6
110010001004013,10
110010001004014,3
110010001004015,3
110010001004016,4
110010001004017,7
110010001004019,2
110010001004020,4
110010001004021,1
110010001004022,9
110010001004023,11
110010001004024,13
110010001004025,1
110010001004026,1
110010001004029,8
110010001004031,13
110010001004034,1
110010001004037,8
110010001004038,9
110010001004040,4
110010001004041,7
110010001004042,7
110010001004045,2
110010002011000,61
110010002011001,16
110010002021001,81
110010002021002,52
110010002021003,46
110010002021004,50
110010002021005,47
110010002021006,60
110010002021007,46
110010002021008,62
110010002021009,48
110010002021010,57
110010002021011,94
110010002022000,39
110010002022001,62
110010002022002,49
110010002022003,45
110010002022004,62
110010002022005,47
110010002022006,38
110010002022007,61
110010002022008,47
110010002023000,34
110010002023001,30
110010002023002,60
110010002023003,44
110010002023004,42
110010002023005,56
110010002023006,33
110010002023007,45
110010002023008,30
110010002023009,11
110010002023010,15
110010002023011,19
110010002023012,16
110010002023013,27
110010002024000,48
110010002024001,36
110010002024002,42
110010002024003,46
110010002024004,33
110010002024005,24
110010002024006,41
110010002024023,8
110010002024024,2
110010002024026,29
110010002024027,4
110010002024028,12
110010002024029,17
110010002024030,24
110010002024031,16
110010002024032,9
110010003001000,105
110010003001001,114
110010003001002,44
110010003001003,54
110010003001004,40
110010003001005,43
110010003001006,57
110010003001007,55
110010003001008,56
110010003001009,62
110010003001010,51
110010003001011,46
110010003001012,26
110010003002000,67
110010003002001,69
110010003002002,34
110010003002003,45
110010003002004,102
110010003002005,51
110010003002006,56
110010003003000,101
110010003003001,69
110010003003002,45
110010003003003,238
110010003003004,16
110010003003005,55
110010003003006,93
110010003003007,49
110010003003008,16
110010003003009,17
110010003003010,39
110010003003011,51
110010003003012,40
110010003003013,30
110010003004000,85
110010003004001,68
110010003004002,63
110010003004003,42
110010003004004,49
110010003004005,60
110010003004006,60
110010003004007,60
110010003004008,48
110010003004009,59
110010003004010,56
110010003004011,16
110010004001000,138
110010004001001,2
110010004001002,15
110010004001003,47
110010004001004,48
110010004001005,26
110010004001006,59
110010004001007,59
110010004001008,61
110010004001009,8
110010004001010,22
110010004001011,51
110010004001012,51
110010004001013,63
110010004001014,53
110010004001015,50
110010004001016,50
110010004001017,91
110010004001018,53
110010004001019,69
110010004001020,31
110010004001021,28
110010004001022,2
110010004002000,51
110010004002001,90
110010004002002,38
110010004002003,31
110010004002004,96
110010004002005,56
110010004002006,71
110010004002007,75
110010004002008,66
110010004002009,110
110010004002011,62
110010004002012,40
110010004002013,8
110010004002014,20
110010004002015,5
110010004002016,99
110010004002017,42
110010004002019,17
110010004002020,38
110010004002021,9
110010004002022,23
110010004002023,82
110010004002024,13
110010004002025,137
110010004002026,99
110010004002029,14
110010005011004,119
110010005011005,65
110010005011006,68
110010005011007,99
110010005011009,23
110010005011010,23
110010005011011,53
110010005011012,108
110010005012000,160
110010005012001,153
110010005012002,24
110010005012003,7
110010005012004,8
110010005012005,5
110010005021000,81
110010005021001,92
110010005021002,103
110010005021003,203
110010005021004,23
110010005021005,67
110010005021006,92
110010005021007,90
110010005021008,290
110010005021010,65
110010005021011,79
110010005021012,31
110010005021013,33
110010005021014,49
110010005022000,173
110010005022001,52
110010005022002,126
110010005022003,61
110010005022004,5
110010005022005,63
110010005022006,112
110010006001000,98
110010006001001,156
110010006001002,8
110010006001003,199
110010006001004,79
110010006001005,28
110010006002000,61
110010006002001,52
110010006002002,181
110010006002003,44
110010006002004,45
110010006002005,131
110010006002006,81
110010006002007,264
110010006002008,21
110010006002009,42
110010006003000,26
110010006003001,81
110010006003002,53
110010006003003,43
110010006003004,76
110010006003005,64
110010006003006,77
110010006003007,46
110010006003008,31
110010006004000,161
110010006004001,127
110010006004002,66
110010006004003,55
110010006004004,29
110010006004005,90
110010006004006,44
110010006004007,21
110010006004008,13
110010006004009,80
110010006004010,78
110010006004011,69
110010006004012,145
110010006004013,11
110010006004014,41
110010006004015,80
110010006004016,57
110010006004017,62
110010006004018,2
110010006004019,25
110010006004021,54
110010007011000,49
110010007011001,74
110010007011002,84
110010007011003,104
110010007011004,48
110010007011005,64
110010007011006,71
110010007011007,8
110010007012000,95
110010007012001,83
110010007013000,68
110010007013001,28
110010007013003,70
110010007014000,50
110010007014001,73
110010007014002,66
110010007014003,42
110010007014004,67
110010007014005,61
110010007014006,62
110010007014007,66
110010007014008,40
110010007014009,17
110010007021000,58
110010007021001,31
110010007021002,50
110010007021003,92
110010007021004,5
110010007021005,80
110010007021006,95
110010007021007,11
110010007022000,82
110010007023000,31
110010007023001,59
110010007023002,79
110010008011000,239
110010008011001,12
110010008012000,50
110010008012008,105
110010008012011,12
110010008012014,33
110010008012015,14
110010008013000,71
110010008013001,169
110010008013003,6
110010008013004,54
110010008013005,41
110010008013007,30
110010008013008,83
110010008013009,77
110010008013010,84
110010008013011,84
110010008013012,39
110010008013013,72
110010008013014,79
110010008013015,69
110010008013016,71
110010008013017,52
110010008013018,61
110010008013019,44
110010008013020,40
110010008013021,29
110010008013022,58
110010008013023,22
110010008013024,2
110010008013025,4
110010008013026,54
110010008013027,84
110010008013028,62
110010008013029,48
110010008013030,41
110010008013031,50
110010008013033,39
110010008013035,56
110010008014000,108
110010008014002,44
110010008014003,60
110010008014004,106
110010008014006,9
110010008014011,90
110010008014014,33
110010008021000,247
110010008021001,119
110010008021002,226
110010008021003,78
110010008021004,57
110010008021006,294
110010008021007,71
110010008021008,57
110010008021009,42
110010008021010,48
110010008021011,68
110010008021012,160
110010008021013,131
110010008022001,70
110010008022002,67
110010008022004,51
110010008022008,55
110010008022009,62
110010008022010,65
110010008022011,21
110010008022013,19
110010008022014,28
110010008022015,61
110010008022016,27
110010008022017,84
110010008022018,30
110010008022019,9
110010008022020,40
110010008022021,82
110010009011002,55
110010009011003,152
110010009011004,92
110010009011005,18
110010009011009,11
110010009011015,10
110010009011016,11
110010009011017,14
110010009012002,30
110010009012006,120
110010009012007,50
110010009012008,19
110010009012009,48
110010009012010,45
110010009012012,11
110010009012013,39
110010009012023,30
110010009012024,65
110010009012025,44
110010009013001,65
110010009013002,37
110010009013003,49
110010009013004,16
110010009013005,32
110010009013008,42
110010009013009,15
110010009013010,2
110010009013011,206
110010009013012,88
110010009013013,47
110010009013014,59
110010009013015,31
110010009013018,31
110010009013019,17
110010009013026,173
110010009013027,154
110010009013028,26
110010009013029,92
110010009013030,116
110010009021002,108
110010009021003,58
110010009021006,52
110010009021007,93
110010009021008,32
110010009022005,19
110010009022017,9
110010009022020,9
110010009022023,86
110010009022024,59
110010009022025,35
110010009022030,33
110010009022032,56
110010009022033,72
110010009022035,36
110010009022036,65
110010009022039,2
110010010011002,63
110010010011003,21
110010010011004,57
110010010011005,27
110010010011006,58
110010010011007,55
110010010011008,65
110010010011009,19
110010010011010,76
110010010011011,66
110010010011012,61
110010010011013,69
110010010012000,44
110010010012001,62
110010010012002,61
110010010012003,79
110010010012004,70
110010010012005,61
110010010012006,10
110010010012007,46
110010010012008,94
110010010012009,1
110010010012010,7
110010010012011,22
110010010012012,48
110010010012013,59
110010010012014,62
110010010012015,66
110010010012016,34
110010010012017,57
110010010012018,60
110010010012019,70
